Time,DisTankPress,HeadCylPress,CrankCylPress
0.18455,38.49105689,13.66450045,50.67966871
0.1846,38.4975921,13.67884669,50.70221033
0.18465,38.51719773,13.64195636,50.75753974
0.1847,38.47798647,13.66040153,50.7227027
0.18475,38.46491605,13.65015421,50.63253625
0.1848,38.51066252,13.68704454,50.64483168
0.18485,38.49105689,13.31814129,50.70221033
0.1849,38.4975921,13.50669184,50.61614235
0.18495,38.51719773,13.53128539,50.54032056
0.185,38.55640898,13.525137,50.50138505
0.18505,38.53026814,13.58457141,50.39892318
0.1851,38.57601461,13.64195636,50.30670749
0.18515,38.54987377,13.59891765,50.25342731
0.1852,38.60215544,13.56407679,50.20424561
0.18525,38.58254982,13.66040153,50.30055978
0.1853,38.58908503,13.65835206,50.17350705
0.18535,38.4975921,13.74033056,50.07924213
0.1854,38.61522586,13.68089615,50.14686696
0.18545,38.58254982,13.60096711,50.05670051
0.1855,38.59562024,13.61736281,50.03620814
0.18555,38.54333856,13.64400583,50.00956805
0.1856,38.61522586,13.69934131,49.97063254
0.18565,38.67404275,13.8366553,49.94194321
0.1857,38.68057795,13.67679723,49.83538286
0.18575,38.70018358,13.6235112,49.75136413
0.1858,38.67404275,13.6726983,49.77390574
0.18585,38.75246525,13.61121443,49.68578853
0.1859,38.70018358,13.63170905,49.72472404
0.18595,38.73285963,13.69114346,49.69808395
0.186,38.713254,13.67474776,49.62226216
0.18605,38.70018358,13.86124885,49.59767131
0.1861,38.75246525,13.40831764,49.55463733
0.18615,38.73285963,13.68499508,49.43578155
0.1862,38.68711316,13.55178001,49.33946739
0.18625,38.79821172,13.5743241,49.33331968
0.1863,38.75900046,13.51079076,49.36405824
0.18635,38.73939484,13.52103808,49.39069833
0.1864,38.77860609,13.58662088,49.33331968
0.18645,38.77860609,13.59276926,49.16118373
0.1865,38.73939484,13.65425314,49.1324944
0.18655,38.79167651,13.57842303,49.01363863
0.1866,38.79821172,13.53948324,49.01363863
0.18665,38.77860609,13.66450045,48.94806303
0.1867,38.81781735,13.75262734,48.9357676
0.18675,38.86356381,13.67679723,48.9193737
0.1868,38.77207088,13.63580798,48.86404429
0.18685,38.75246525,13.64400583,48.85584734
0.1869,38.76553567,13.74033056,48.95625998
0.18695,38.76553567,13.76902304,48.84765039
0.187,38.81781735,13.76492411,48.80051793
0.18705,38.77860609,13.71983594,48.75953318
0.1871,38.79821172,13.6399069,48.76773013
0.18715,38.80474693,13.68294561,48.69600681
0.1872,38.84395818,13.69114346,48.58739723
0.18725,38.71978921,13.71778648,48.41321204
0.1873,38.73939484,14.20965748,48.38042424
0.18735,38.76553567,13.69934131,48.36403034
0.1874,38.75900046,13.76287465,48.36812881
0.18745,38.73939484,13.74647895,48.32509483
0.1875,38.75246525,13.79361659,48.33943949
0.18755,38.75246525,13.77312196,48.28411008
0.1876,38.75246525,13.67474776,48.20214058
0.18765,38.713254,13.65220368,48.21033753
0.1877,38.76553567,13.69319293,48.10787565
0.18775,38.75900046,13.70958863,48.00541378
0.1878,38.80474693,13.71778648,48.14271269
0.18785,38.75246525,13.72803379,48.01975844
0.1879,38.73939484,13.7382811,47.93369046
